Order_505	accession	percentage_actg	PubmedID	Country	CountryCleaned	VirusType	SamplingDate	CountryCode	Continent	Country_regions	M49_code	Host	Host2	GenomeLength	SamplingDate_formatted	SamplingYear	Country_formatted	fasta_id	In_dataset437	Order_437	rhierbaps_level1_505	rhierbaps_level2_505	rhierbaps_level1_437	rhierbaps_level2_437	accession	NAMING_PROPOSAL
1	MF801422	70.02	29805095	Mexico:_Guerrero	Mexico	Asian	01/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10068	2016-07-01	2016	Mexico	MF801422_Mexico_2016-07-01	yes	390	1	1	1	1	MF801422	ZB.2.1
2	KY785481	70.34	28538734	Puerto_Rico	Puerto Rico	Asian	12/04/2016	PR	NAM	Caribbean	630	Human	Homo_sapiens	10058	2016-04-12	2016	PuertoRico	KY785481_PuertoRico_2016-04-12	yes	323	1	1	1	2	KY785481	ZB.2.0
3	MF801415	71.22	29805095	Mexico:_Guerrero	Mexico	Asian	05/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10232	2016-07-05	2016	Mexico	MF801415_Mexico_2016-07-05	yes	386	1	1	1	1	MF801415	ZB.2.1
4	KY785474	71.25	28538734	USA:_Florida	USA	Asian	04/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10597	2016-08-04	2016	USA	KY785474_USA_2016-08-04	yes	319	1	2	2	3	KY785474	ZB.2.2
5	KY014308	71.77	28538734	Brazil:_Rio_de_Janeiro	Brazil	Asian	23/03/2016	BR	SA	South America	76	Human	Homo_sapiens	10365	2016-03-23	2016	Brazil	KY014308_Brazil_2016-03-23	yes	116	1	1	1	2	KY014308	ZB.2.0
6	P153	72.22	NA	Angola	Angola	Asian	2017-06	AGO	AF	Middle Africa	24	Human	Homo_Sapiens	10270	2017-06	2017	Angola	P153_Angola_2017-06	yes	416	1	1	1	2	P153	ZB.2.0
7	KY559014	72.31	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	24/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10310	2016-04-24	2016	Brazil	KY559014_Brazil_2016-04-24	yes	249	1	1	1	2	KY559014	ZB.2.0
8	MF801377	72.63	29805095	El_Salvador	El Salvador	Asian	22/02/2016	SV	NAM	Central America	222	Human	Homo_sapiens	10356	2016-02-22	2016	ElSalvador	MF801377_ElSalvador_2016-02-22	yes	355	1	1	1	1	MF801377	ZB.2.1
9	KX101066	72.78	27448188	Brazil:_Bahia	Brazil	Asian	16/05/2015	BR	SA	South America	76	Human	Homo_sapiens	10632	2015-05-16	2015	Brazil	KX101066_Brazil_2015-05-16	yes	51	1	1	1	2	KX101066	ZB.2.0
10	MF801407	73.76	29805095	Mexico:_Oaxaca	Mexico	Asian	05/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10631	2016-07-05	2016	Mexico	MF801407_Mexico_2016-07-05	yes	379	1	1	1	1	MF801407	ZB.2.1
11	MF801419	73.9	29805095	Mexico:_Chiapas	Mexico	Asian	01/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10192	2016-07-01	2016	Mexico	MF801419_Mexico_2016-07-01	yes	389	1	1	1	1	MF801419	ZB.2.1
12	KX101060	74.19	27448188	Brazil:_Bahia	Brazil	Asian	05/05/2015	BR	SA	South America	76	Human	Homo_sapiens	10331	2015-05-05	2015	Brazil	KX101060_Brazil_2015-05-05	yes	49	1	1	1	2	KX101060	ZB.2.0
13	PoHuZV_634959	74.59	NA	Angola	Angola	Asian	2017-11	AGO	AF	Middle Africa	24	Human	Homo_Sapiens	10270	2017-11	2017	Angola	PoHuZV_634959_Angola_2017-11	yes	415	1	1	1	2	PoHuZV_634959	ZB.2.0
14	KY325482	74.64	NA	USA:_Florida	USA	Asian	24/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10722	2016-08-24	2016	USA	KY325482_USA_2016-08-24	yes	220	1	2	2	4	KY325482	ZB.2.2
15	MH063259	76.05	NA	Cuba	Cuba	Asian	26/07/2017	CU	NAM	Caribbean	192	Human	Homo_sapiens	10386	2017-07-26	2017	Cuba	MH063259_Cuba_2017-07-26	yes	401	1	1	1	1	MH063259	ZB.2.1
16	KY325471	76.28	28538723	USA:_Florida	USA	Asian	08/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10622	2016-08-08	2016	USA	KY325471_USA_2016-08-08	yes	213	1	2	2	4	KY325471	ZB.2.2
17	KY241769	76.47	28527892	Singapore	Singapore	Asian	10/09/2016	SG	AS	South-Eastern Asia	702	Human	Homo_sapiens	10493	2016-09-10	2016	Singapore	KY241769_Singapore_2016-09-10	yes	190	5	11	5	11	KY241769	ZB.1.2
18	MH063260	76.68	NA	Cuba	Cuba	Asian	08/08/2017	CU	NAM	Caribbean	192	Human	Homo_sapiens	10342	2017-08-08	2017	Cuba	MH063260_Cuba_2017-08-08	yes	402	1	2	2	5	MH063260	ZB.2.2
19	MF801382	76.94	29805095	Honduras	Honduras	Asian	2016	HN	NAM	Central America	340	Human	Homo_sapiens	10305	2016	2016	Honduras	MF801382_Honduras_2016	yes	359	1	1	1	1	MF801382	ZB.2.1
20	KX101061	77.21	27448188	Brazil:_Bahia	Brazil	Asian	05/05/2015	BR	SA	South America	76	Human	Homo_sapiens	10564	2015-05-05	2015	Brazil	KX101061_Brazil_2015-05-05	yes	50	1	1	1	2	KX101061	ZB.2.0
21	KY325478	77.8	28538723	USA:_Florida	USA	Asian	26/09/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10407	2016-09-26	2016	USA	KY325478_USA_2016-09-26	yes	218	1	2	2	3	KY325478	ZB.2.2
22	MF801404	78.05	29805095	Mexico:_Guerrero	Mexico	Asian	08/07/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10610	2016-07-08	2016	Mexico	MF801404_Mexico_2016-07-08	yes	377	1	1	1	1	MF801404	ZB.2.1
23	MF801393	78.28	29805095	Mexico:_Chiapas	Mexico	Asian	22/04/2016	MX	NAM	Central America	484	Human	Homo_sapiens	10355	2016-04-22	2016	Mexico	MF801393_Mexico_2016-04-22	yes	367	1	1	1	1	MF801393	ZB.2.1
24	Z03	78.53	NA	Brazil:_Amazonas	Brazil	Asian	15/12/2015	BR	SA	South America	76	Human	Homo_sapiens	10270	2015-12-15	2015	Brazil	Z03_Brazil_2015-12-15	yes	422	1	1	1	2	Z03	ZB.2.0
25	KY785451	79.02	28538734	Martinique	Martinique	Asian	22/03/2016	MQ	NAM	Caribbean	474	Human	Homo_sapiens	10345	2016-03-22	2016	Martinique	KY785451_Martinique_2016-03-22	yes	305	1	1	1	2	KY785451	ZB.2.0
26	KY785413	80.16	28538734	Dominican_Republic	Dominican Republic	Asian	06/10/2016	DO	NAM	Caribbean	214	Human	Homo_sapiens	10345	2016-10-06	2016	DominicanRepublic	KY785413_DominicanRepublic_2016-10-06	yes	281	1	2	2	5	KY785413	ZB.2.2
27	KY785443	81.13	28538734	USA:_Florida	USA	Asian	01/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10033	2016-08-01	2016	USA	KY785443_USA_2016-08-01	yes	301	1	2	2	3	KY785443	ZB.2.2
28	KY559001	81.2	28538727	Brazil:_Murici_Alagoas	Brazil	Asian	20/08/2015	BR	SA	South America	76	Human	Homo_sapiens	10310	2015-08-20	2015	Brazil	KY559001_Brazil_2015-08-20	yes	239	1	1	1	2	KY559001	ZB.2.0
29	KY559026	81.93	28538727	Brazil:_Rio_de_janeiro	Brazil	Asian	15/01/2016	BR	SA	South America	76	Human	Homo_sapiens	10011	2016-01-15	2016	Brazil	KY559026_Brazil_2016-01-15	yes	258	1	1	1	2	KY559026	ZB.2.0
30	KY559009	82.07	28538727	Brazil:_Ribeirao_Preto_Sao_Paulo	Brazil	Asian	19/04/2016	BR	SA	South America	76	Human	Homo_sapiens	10309	2016-04-19	2016	Brazil	KY559009_Brazil_2016-04-19	yes	244	1	1	1	2	KY559009	ZB.2.0
31	MK238036	82.2	30703541	India	India	Asian	10/10/2018	IN	AS	Southern Asia	356	Human	Homo_sapiens	10358	2018-10-10	2018	India	MK238036_India_2018-10-10	yes	412	2	4	4	10	MK238036	ZB.1.1
32	KY325483	82.34	28538723	USA:_Florida	USA	Asian	24/08/2016	US	NAM	Northern America	840	Human	Homo_sapiens	10688	2016-08-24	2016	USA	KY325483_USA_2016-08-24	yes	221	1	2	2	3	KY325483	ZB.2.2
33	MF801385	82.41	29805095	Honduras:_Roatan	Honduras	Asian	12/02/2016	HN	NAM	Central America	340	Human	Homo_sapiens	10685	2016-02-12	2016	Honduras	MF801385_Honduras_2016-02-12	yes	362	1	1	1	1	MF801385	ZB.2.1
34	KY785431	82.78	28538734	Honduras:_Francisco_Morazan	Honduras	Asian	13/06/2016	HN	NAM	Central America	340	Human	Homo_sapiens	10034	2016-06-13	2016	Honduras	KY785431_Honduras_2016-06-13	yes	295	1	1	1	1	KY785431	ZB.2.1
